Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency, Dominant Amplitude
0,0.0244531,4.0693,-0.0034375,0.871875,0.048125,0,0,1,1,0,0.1825,1.5427
0.00633325,-0.00476562,2.97398,0.00234375,0.919687,0.0442188,0.000119053,0.00265446,1.03941,1.03941,0,0.21375,1.61707
0.013608,-0.0330785,2.90376,0.00199468,0.875,0.049867,0.000485837,0.00324413,1.08158,1.08158,0,0.191489,1.55354
0.0213456,-0.0466406,2.78539,-0.00359375,1.15906,0.0551562,0.00101538,0.00811679,1.13369,1.13369,0,0.185,1.69725
0.0297412,-0.0875781,4.67023,0.0101563,1.25156,0.0592188,0.00239421,0.0105226,1.19487,1.19487,0,0.19125,1.74114
0.0373591,-0.0913281,4.68883,-0.0178125,1.36437,0.06,0.00356404,0.0165417,1.25656,1.25656,0,0.17125,1.69149
0.0452022,-0.104959,5.19803,0.00254755,1.63553,0.0640285,0.00485846,0.0264893,1.32595,1.32595,0,0.171196,1.73128
0.05333,-0.135785,6.88782,-0.00407609,1.12772,0.0543478,0.00616549,0.019816,1.40418,1.40418,0,0.163043,1.73439
0.0618423,-0.159562,8.15888,0.00356658,0.763247,0.0450068,0.00627644,0.0151322,1.49144,1.49144,0,0.197011,1.73451
0.0716256,-0.215426,14.1237,0.0056516,1.35904,0.0585106,0.011508,0.0345685,1.59993,1.59993,0,0.174202,1.80822
0.0799937,-0.222422,15.0152,0.0115625,1.00687,0.04875,0.0150411,0.0318755,1.71106,1.71106,0,0.1875,1.886
0.0881685,-0.220344,14.4098,0.010523,1.30485,0.059949,0.0153961,0.0339285,1.83578,1.83578,0,0.179847,1.88482
0.0970743,-0.249751,17.9725,0.00315824,0.997673,0.0503657,0.0188882,0.0338087,1.96938,1.96938,0,0.195479,1.8528
0.105927,-0.280825,22.3836,0.00101902,0.970109,0.0502717,0.0246253,0.0342285,2.12931,2.12931,0,0.179348,1.8066
0.114387,-0.300611,24.9808,-0.015625,0.991168,0.0536685,0.0241642,0.0290326,2.31719,2.31651,3.39674e-05,0.165761,1.86677
0.123609,-0.307262,27.1024,0.00799006,1.17223,0.0591264,0.0448204,0.0342733,2.52571,2.52571,0,0.177557,1.80847
0.130927,-0.314589,28.0602,-0.00799419,0.821948,0.0461483,0.0467084,0.0362346,2.6964,2.6948,0.000109012,0.196221,1.82128
0.13852,-0.311372,27.0487,-0.00972222,1.54375,0.0631944,0.042768,0.0722248,2.92733,2.92406,0.000138889,0.163889,1.79267
0.146915,-0.338594,31.8359,-0.0159375,1.34187,0.055,0.0536712,0.0833704,3.16744,3.16106,0.00025,0.14625,1.91044
0.154863,-0.380341,39.1611,-0.0202487,1.34279,0.0591518,0.0510417,0.0692338,3.54614,3.52653,0.000669643,0.160714,1.86696
0.163454,-0.411953,45.867,0.00578125,1.18594,0.0557812,0.0647188,0.0636457,3.86128,3.83244,0.00090625,0.17625,1.99903
0.171506,-0.410714,45.6878,0.0129145,1.32749,0.0591518,0.0736578,0.0740495,4.27519,4.22012,0.0018176,0.173469,2.06514
