Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy
0,3.55469e-05,1.94817,-8.30078e-05,1.0002,0.0249119,0,0,1,1,0,0.220919,1.82247,1,10000,9.57031e-05,0.0248629,-0.000618066,5.13062e-314
0.00280606,-0.0060034,2.01325,0.000213891,1.02705,0.0252966,1.55616e-05,0.00104322,1.01135,1.01135,0,0.214166,1.82064,1.09984,9504,0.000368455,0.0248969,-0.000619758,0.00773751
0.00560203,-0.0118659,2.15311,0.000166561,1.04834,0.0254826,6.30456e-05,0.00214775,1.02289,1.02289,0,0.21415,1.83359,1.19973,9048,-0.000375398,0.0249943,-0.000624616,0.0328335
0.00838152,-0.0174891,2.31788,0.000297321,1.05765,0.0255465,0.000140828,0.00326347,1.03441,1.03441,0,0.214034,1.84076,1.30361,8609,-7.92204e-05,0.0251183,-0.000630832,0.0745432
0.0111544,-0.0224642,2.56485,-0.000126571,1.03397,0.0253263,0.000254823,0.00420697,1.04614,1.04614,0,0.214292,1.8433,1.4073,8210,0.000127749,0.0249102,-0.000620423,0.132092
0.013909,-0.0281023,2.78507,-0.00061177,1.04236,0.0254932,0.000382349,0.00524179,1.05823,1.05823,0,0.212068,1.84333,1.50903,7875,-0.000395322,0.0246951,-0.000609752,0.20341
0.0166791,-0.0334945,3.167,-7.7519e-05,1.05847,0.0257694,0.000561448,0.00631254,1.0705,1.0705,0,0.209467,1.84808,1.60403,7565,0.000249281,0.0251435,-0.000632096,0.290899
0.0194426,-0.0395059,3.57369,-0.000305556,1.08869,0.0260371,0.000746779,0.00766997,1.08277,1.08277,0,0.208228,1.86233,1.70294,7291,-2.41539e-05,0.0251414,-0.000631992,0.393576
0.0222176,-0.0450337,4.08729,-0.000148782,1.10882,0.0261287,0.000992467,0.00910313,1.09537,1.09537,0,0.205818,1.86879,1.8,7040,0.000191402,0.025157,-0.000632775,0.513621
0.0249862,-0.0507472,4.65966,0.000473253,1.10175,0.0262099,0.00126271,0.00995205,1.10812,1.10812,0,0.2064,1.8685,1.89114,6800,-7.53838e-05,0.0250116,-0.00062548,0.649182
