Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance
0,-0.0026625,2.00475,0.000740625,0.977331,0.0491656,0,0,0.964978,0.966313,0.0336781,0.19565,1.60438,1,2500,0.000396875,0.0503531,1.02784
0.00885577,-0.0158621,2.07743,0.000826802,1.03303,0.0511026,0.00015787,0.00322784,0.997153,0.998778,0.0357924,0.190296,1.62214,1.14593,2319,0.000343201,0.0485536,0.951977
0.0176893,-0.0338856,2.22235,0.00141845,1.02597,0.0504888,0.000603421,0.00660519,1.03472,1.03635,0.0359907,0.188582,1.64242,1.31761,2120,-0.00011637,0.0502309,1.01234
0.0267146,-0.0534513,2.76851,-0.000573511,1.13782,0.0533875,0.00145382,0.0109039,1.07254,1.07388,0.0372211,0.187525,1.67148,1.48778,1962,-0.000337735,0.0491754,1.0091
0.0354958,-0.0700398,3.32688,-0.000925832,1.07914,0.0517895,0.00260943,0.0139324,1.11505,1.11609,0.0370286,0.188286,1.66848,1.64957,1837,-0.000370967,0.0498903,0.992967
0.0442047,-0.0877791,4.0586,0.000579884,1.27156,0.0565992,0.00407632,0.0199574,1.15761,1.15861,0.0369849,0.185537,1.71293,1.77968,1743,0.00125854,0.0499751,1.03244
0.0528823,-0.106745,4.95366,0.00192772,1.18592,0.0545001,0.00569554,0.022503,1.20429,1.20568,0.0374973,0.178379,1.71575,1.9342,1650,0.000422383,0.0502001,1.02327
0.0616644,-0.126123,6.04847,0.00256841,1.3255,0.0569151,0.0075147,0.0305998,1.25362,1.2542,0.0367092,0.175737,1.73926,2.07811,1565,-0.00129367,0.0509895,1.03299
0.0705798,-0.14482,7.40219,0.00191029,1.30092,0.0567945,0.0101281,0.0335371,1.30718,1.30849,0.0365715,0.172954,1.75333,2.22554,1502,0.00102178,0.0500736,1.01446
0.0793695,-0.162661,8.81885,0.00225865,1.43503,0.0599982,0.0128852,0.0407551,1.3667,1.36727,0.0364873,0.169328,1.78002,2.37785,1427,0.0012509,0.0491944,0.968358
0.0881328,-0.17674,10.0351,0.00170958,1.52042,0.0615099,0.0158339,0.0486362,1.42526,1.42667,0.0368742,0.163279,1.82555,2.53814,1368,0.000891402,0.0510901,1.03543
0.096911,-0.197196,12.0421,0.00106881,1.65288,0.0639951,0.0196029,0.0585792,1.48915,1.48933,0.0370838,0.156734,1.84496,2.69399,1316,-0.00048351,0.051093,1.05521
0.105586,-0.217098,14.1502,0.000774846,1.69278,0.0645044,0.0232394,0.0662668,1.5549,1.55648,0.0367947,0.155353,1.88395,2.85458,1260,-8.96516e-05,0.0498271,1.00763
0.114267,-0.237258,16.5163,-0.00137755,1.66592,0.0645472,0.027495,0.0684841,1.63044,1.63102,0.0371107,0.154107,1.90681,2.97793,1215,-0.000618622,0.050574,1.02866
0.122904,-0.253603,18.6179,-0.000567602,1.71181,0.0652806,0.0325275,0.076305,1.70763,1.71017,0.0368174,0.149872,1.90219,3.15618,1162,-0.00135842,0.0509184,1.0449
0.131444,-0.269239,20.7378,-0.00176899,1.80866,0.0667997,0.0376735,0.0875862,1.79043,1.79148,0.0364974,0.144289,1.92641,3.33424,1125,0.00230409,0.0519994,1.08094
0.139932,-0.291541,24.0552,-0.000693604,2.0186,0.0710061,0.0449625,0.101854,1.87236,1.87261,0.0367824,0.143084,2.00582,3.51275,1097,-0.00180968,0.0527013,1.10183
0.148203,-0.310939,27.2662,0.00170977,2.03811,0.0708213,0.0552469,0.11176,1.98456,1.9848,0.036455,0.136782,2.01371,3.61656,1067,-0.00166237,0.0528292,1.12093
0.156105,-0.325839,29.5983,-0.00254508,2.20962,0.0740858,0.0589352,0.125589,2.08295,2.08402,0.0356124,0.132673,2.05107,3.75963,1034,0.00138017,0.0520665,1.09853
0.164164,-0.345602,32.9254,0.00118448,2.21833,0.0748551,0.0632925,0.128687,2.18312,2.18316,0.0371558,0.128629,2.0774,3.94771,999,-9.13558e-05,0.0553711,1.21201
0.172343,-0.367238,36.715,0.00494813,2.29568,0.0755474,0.0650406,0.143835,2.30009,2.29902,0.036525,0.128084,2.09785,4.11822,964,-0.000477926,0.0520239,1.08494
0.180812,-0.38264,39.8521,-0.0014477,2.54915,0.0796747,0.0774912,0.167078,2.42174,2.42227,0.0360131,0.121148,2.13946,4.27322,932,0.00481824,0.0545249,1.19682
