Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy
0.00437534,-0.00853924,2.14844,0.00382755,1.04842,0.0253793,3.96996e-05,0.00170137,0.988806,0.988349,0,0.216551,1.83564,1.16921,4647,0.000380601,0.0252763,0.000362769,0.0239182
0.00873877,-0.0163489,2.21399,0.000870798,1.01974,0.025185,0.000148172,0.00323541,1.00574,1.00531,0,0.213423,1.82997,1.323,4371,0.000170399,0.0248567,0.000367446,0.0823361
0.0131683,-0.0260319,2.64495,0.000275055,1.07117,0.0259598,0.000338318,0.00501826,1.02456,1.02418,0,0.211965,1.83753,1.47291,4104,0.000109388,0.0250323,0.000359735,0.175985
0.017626,-0.0360287,3.33338,0.000409219,1.08532,0.0260605,0.000622647,0.00687192,1.04356,1.04323,0,0.207047,1.85613,1.63653,3860,-0.000453319,0.0249357,0.000356147,0.314676
0.0220681,-0.0440055,4.04352,-7.9138e-06,1.06123,0.0257744,0.00100349,0.00840723,1.06246,1.06224,0,0.205056,1.86559,1.78582,3676,-0.00015511,0.0248121,0.00035242,0.498818
0.0264714,-0.0526899,4.86247,-0.000363483,1.12074,0.0262866,0.00141521,0.0109372,1.08241,1.08203,0,0.203341,1.88639,1.9673,3493,6.03159e-05,0.0246867,0.000359715,0.717706
0.0308778,-0.0625702,6.03915,0.000181037,1.15421,0.0267153,0.00193563,0.0130727,1.10349,1.1034,0,0.202181,1.8936,2.13752,3324,0.000355694,0.0246362,0.00034107,0.975547
0.03528,-0.0707815,7.16724,-0.000284582,1.17025,0.0270075,0.00253539,0.0149356,1.12388,1.12368,0,0.198184,1.88963,2.29424,3201,-0.000804462,0.0251052,0.000351357,1.27768
0.0396765,-0.0801362,8.60127,0.000460448,1.17008,0.0270026,0.00318834,0.0168006,1.14509,1.14499,0,0.199976,1.89961,2.46438,3070,0.000787691,0.0243103,0.000348776,1.61652
0.0440764,-0.0884606,10.0286,-0.00061713,1.23912,0.0277574,0.00391556,0.0198411,1.16892,1.16883,0,0.196234,1.92438,2.60759,2969,-0.000233947,0.0248107,0.000354337,1.99774
0.0484834,-0.0970632,11.7214,-0.00052426,1.22201,0.0273517,0.0048753,0.0221057,1.19079,1.19048,0,0.194357,1.92693,2.74918,2874,0.000504887,0.0248225,0.000348956,2.41695
0.0528623,-0.106149,13.6068,0.000288022,1.24125,0.0278608,0.00578073,0.0235979,1.21438,1.21415,0,0.193532,1.93282,2.93357,2768,-0.000224194,0.024864,0.000346005,2.87257
