Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Prob. (Neither),Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy,Wrapping Prob. (Z-dir.),Wrapping Prob. (X-dir.),Wrapping Prob. (both dir.),Z-Wrapping Cluster Size,X-Wrapping Cluster Size,Both-Wrapping Cluster Size
0.0051801,-0.00911977,1.84001,0.00189866,0.998132,0.0502677,4.88026e-05,0.00181957,0.987425,0.987488,1,0.201569,1.60714,1.10316,475,0.0043887,0.0495518,0.00145987,0.00859042,0,0,0,nan,nan,nan
0.0109885,-0.0212098,2.01431,-0.00381212,1.02526,0.0508754,0.000229316,0.003985,1.00791,1.00789,1,0.187751,1.62251,1.21772,449,0.00359249,0.0511264,0.00143758,0.030029,0,0,0,nan,nan,nan
0.0166726,-0.0347152,2.41179,-0.00439453,1.00778,0.050482,0.000584659,0.00592515,1.03513,1.0351,1,0.193926,1.66007,1.31292,429,-0.000299269,0.0470483,0.00123975,0.068784,0,0,0,nan,nan,nan
0.0220738,-0.047433,2.6937,-0.00015501,1.16549,0.0527964,0.00103187,0.00997514,1.05864,1.05861,1,0.19246,1.66576,1.36999,416,0.00333271,0.0505177,0.00149892,0.124705,0,0,0,nan,nan,nan
0.0274566,-0.0579246,2.65725,-0.000498008,1.1852,0.0540027,0.00135567,0.0120431,1.08197,1.0819,1,0.186379,1.64754,1.46823,399,-0.00320593,0.0499253,0.00151171,0.197881,0,0,0,nan,nan,nan
0.0332979,-0.0650837,2.98425,0.00362943,1.23536,0.0557948,0.00210647,0.0145983,1.1115,1.11143,1,0.178519,1.689,1.54613,388,0.00286048,0.0521038,0.00150911,0.292367,0,0,0,nan,nan,nan
0.0389809,-0.078375,3.46575,-0.00114062,1.21216,0.0559531,0.00287678,0.0160088,1.13889,1.13879,1,0.178375,1.65652,1.664,370,0.00151563,0.0547969,0.00155651,0.394958,0,0,0,nan,nan,nan
0.0446738,-0.0871418,4.10771,-0.00301075,1.07816,0.0509665,0.00431825,0.018458,1.16388,1.16374,1,0.182065,1.70252,1.76538,360,-0.000957263,0.0500865,0.00134911,0.517014,0,0,0,nan,nan,nan
0.0499991,-0.104127,4.63812,-0.00122257,1.29312,0.057401,0.00465598,0.0224811,1.19714,1.19715,1,0.185592,1.72489,1.86469,350,0.0012822,0.0520336,0.00140795,0.643682,0,0,0,nan,nan,nan
0.0557389,-0.111051,4.92984,0.00163135,1.2881,0.0559597,0.00550761,0.0271139,1.23178,1.23166,1,0.170618,1.75257,1.94874,344,-0.00510357,0.0514398,0.00143898,0.804551,0,0,0,nan,nan,nan
0.0616221,-0.126901,5.99548,0.00268833,1.20916,0.0555638,0.00711188,0.0258071,1.26362,1.26371,1,0.167063,1.7123,2.0421,331,0.000341611,0.0493554,0.00132328,0.979661,0,0,0,nan,nan,nan
0.0673459,-0.139675,7.031,0.00693934,1.30242,0.0562653,0.00923719,0.0331328,1.28794,1.2879,1,0.173529,1.75987,2.21069,312,0.000566789,0.0474418,0.00132438,1.17351,0,0,0,nan,nan,nan
0.0728347,-0.15339,8.15194,6.15157e-05,1.42618,0.0595165,0.0112925,0.0378285,1.33069,1.33071,1,0.180241,1.77423,2.31725,303,0.000645915,0.0503199,0.00136407,1.37761,0,0,0,nan,nan,nan
0.0782036,-0.155015,8.32139,-0.00321146,1.34258,0.0582078,0.0132702,0.0371633,1.3759,1.37594,1,0.16959,1.7961,2.42544,291,-0.00152853,0.0481874,0.00115204,1.59635,0,0,0,nan,nan,nan
0.0835214,-0.173635,9.86178,-0.00498703,1.29332,0.0571115,0.0149534,0.0382797,1.38862,1.38843,1,0.175395,1.76536,2.48793,284,0.00177557,0.0495152,0.00145148,1.81523,0,0,0,nan,nan,nan
