Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Prob. (Neither),Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy,Wrapping Prob. (Z-dir.),Wrapping Prob. (X-dir.),Wrapping Prob. (both dir.),Z-Wrapping Cluster Size,X-Wrapping Cluster Size,Both-Wrapping Cluster Size
0.00533217,-0.0186422,1.95388,0.0311961,1.35873,0.0596444,5.30233e-05,0.00238892,1.02171,1.02171,1,0.172845,1.63404,1.1201,139,0.0149784,0.0523707,0.00152472,0.018111,0,0,0,0,0,0
0.0110682,-0.029174,2.11757,0.0142592,1.28879,0.0566543,0.000232721,0.00517,1.04548,1.04548,1,0.196678,1.6709,1.21033,132,0.00387893,0.0471482,0.00146178,0.053395,0,0,0,0,0,0
0.0167515,-0.0386853,2.38922,0.00824353,1.14989,0.0533944,0.000562938,0.00703639,1.06959,1.06959,1,0.199569,1.64292,1.31986,126,0.00161638,0.0451509,0.0013861,0.103795,0,0,0,0,0,0
0.022282,-0.0473031,2.58219,0.00915026,0.950449,0.049283,0.000997624,0.0073235,1.09326,1.09326,1,0.197346,1.63911,1.43554,121,0.00556507,0.0531892,0.00145507,0.166395,0,0,0,0,0,0
0.0278079,-0.0613839,3.02589,0.000334821,1.14353,0.0544643,0.00159396,0.0106821,1.12118,1.12118,1,0.202679,1.68453,1.56122,114,-0.00664062,0.0443638,0.00095587,0.241288,0,0,0,0,0,0
0.0332639,-0.0758102,3.06713,0.00653935,1.17951,0.0539931,0.00176579,0.0144103,1.15062,1.15062,1,0.180556,1.69492,1.72016,105,0.000462963,0.0524306,0.00140052,0.334961,0,0,0,0,0,0
0.0394646,-0.0919514,4.34173,-0.00022482,1.33768,0.0541817,0.00339094,0.0231323,1.18031,1.18031,1,0.195594,1.73869,1.83997,104,0.00174236,0.0547999,0.00174849,0.463146,0,0,0,0,0,0
0.0447733,-0.086263,4.44401,0.00531684,1.0332,0.0499132,0.00508988,0.0177044,1.20396,1.20396,1,0.176215,1.67626,1.93866,101,0.00184462,0.0531684,0.00155918,0.59606,0,0,0,0,0,0
0.0496893,-0.0890842,3.97439,0.000379774,1.01986,0.0508355,0.00479676,0.0178031,1.23618,1.23618,1,0.189236,1.66618,2.11227,96,-0.00325521,0.0513238,0.00136282,0.712498,0,0,0,0,0,0
0.0553092,-0.112676,5.22887,0.00132042,1.07768,0.0518266,0.00605312,0.0215745,1.26686,1.26686,1,0.176056,1.7095,2.12755,94,0.000495158,0.0534221,0.00122727,0.848557,0,0,0,0,0,0
0.0608778,-0.115417,5.62167,0.00151042,1.12698,0.0538021,0.00819601,0.0234955,1.30363,1.30363,1,0.18125,1.72417,2.29333,93,0.00708333,0.0540625,0.0015613,1.01701,0,0,0,0,0,0
0.0661452,-0.135381,7.07063,0.00326413,1.26595,0.054634,0.0104071,0.0331929,1.32548,1.32548,1,0.167808,1.75384,2.39257,88,0.00898973,0.0514769,0.00154567,1.18062,0,0,0,0,0,0
0.0712241,-0.151476,7.71528,0.0039605,1.38227,0.0591905,0.00934113,0.03457,1.36462,1.36462,1,0.170139,1.76573,2.60417,83,-0.000542535,0.0492622,0.00169905,1.36448,0,0,0,0,0,0
0.0769967,-0.161638,8.79052,0.00080819,1.44106,0.0599677,0.012462,0.0400728,1.39626,1.39626,1,0.161638,1.7564,2.74673,81,-0.00544181,0.0497306,0.00151267,1.59618,0,0,0,0,0,0
0.0823995,-0.16521,9.09441,-0.00726617,1.48875,0.0597137,0.0143063,0.0474554,1.43341,1.43341,1,0.164773,1.82311,2.83877,78,0.00360577,0.0511364,0.00157558,1.82758,0,0,0,0,0,0
0.0877958,-0.186862,10.5068,0.00313563,1.51562,0.0617028,0.0120857,0.0474951,1.46878,1.46878,1,0.161139,1.79857,2.96404,76,0.000478316,0.0538372,0.00154135,2.0638,0,0,0,0,0,0
0.0940516,-0.192921,11.5914,0.00510204,1.38393,0.0579294,0.0182529,0.0493619,1.52686,1.52686,1,0.168367,1.82662,3.08899,75,-0.00223214,0.0509141,0.00136134,2.37094,0,0,0,0,0,0
0.0995046,-0.199245,12.255,-0.00173029,1.66474,0.0640206,0.0207153,0.0612445,1.56624,1.56624,1,0.151007,1.88689,2.95257,74,-0.000943792,0.0501258,0.00169104,2.64809,0,0,0,0,0,0
0.10492,-0.221917,14.7373,-0.0101351,1.62183,0.0612331,0.0234479,0.0694532,1.61594,1.61594,1,0.160473,1.85834,3.09533,71,0.0020587,0.0507285,0.00133658,2.93214,0,0,0,0,0,0
0.110287,-0.229492,15.6732,-0.00911458,1.85829,0.0674913,0.0266438,0.0763398,1.67686,1.67686,1,0.153212,1.89257,3.06713,70,-0.00499132,0.0465495,0.00125451,3.24492,0,0,0,0,0,0
0.11558,-0.23781,16.9309,0.000609486,1.9764,0.0723072,0.0327702,0.0737335,1.72424,1.72424,1,0.141844,1.90378,3.34239,67,0.00698138,0.0490913,0.00113268,3.5638,0,0,0,0,0,0
0.120581,-0.238254,17.0133,-0.00941933,1.5727,0.0634973,0.0360809,0.0651772,1.73625,1.73625,1,0.14805,1.90307,3.40275,66,0.00759087,0.0469304,0.00133541,3.87604,0,0,0,0,0,0
0.125554,-0.259555,19.3521,-0.00376574,1.87669,0.0694132,0.0331933,0.0807597,1.80235,1.80235,1,0.139838,1.87637,3.78086,64,0.00792491,0.0560364,0.00176337,4.18721,0,0,0,0,0,0
